Last Name,First Name,Team,Year,Games,Targets,REC,Yards,TDS
Thomas,Michael,NO,2019,16,185,149,1725,9
Thomas,Michael,NO,2018,16,147,125,1405,9
Thomas,Michael,NO,2017,14,149,104,1245,5
Thomas,Michael,NO,2016,15,121,92,1137,9
Godwin,Chris,TB,2019,14,121,86,1333,9
Godwin,Chris,TB,2018,16,95,59,842,7
Godwin,Chris,TB,2017,16,55,34,525,1
Jones,Julio,ATL,2019,15,157,99,1394,6
Jones,Julio,ATL,2018,16,170,113,1677,8
Jones,Julio,ATL,2017,16,148,88,1444,3
Jones,Julio,ATL,2016,14,129,83,1409,6
Jones,Julio,ATL,2015,16,203,136,1871,8
Jones,Julio,ATL,2014,15,163,104,1593,6
Jones,Julio,ATL,2013,5,59,41,580,2
Jones,Julio,ATL,2012,15,128,79,1198,10
Jones,Julio,ATL,2011,13,95,54,959,8
Kupp,Cooper,LAR,2019,16,134,94,1161,10
Kupp,Cooper,LAR,2018,8,55,40,566,6
Kupp,Cooper,LAR,2017,15,94,62,869,5
Hopkins,DeAndre,HOU,2019,15,150,104,1165,7
Hopkins,DeAndre,HOU,2018,16,163,115,1572,11
Hopkins,DeAndre,HOU,2017,15,174,96,1378,13
Hopkins,DeAndre,HOU,2016,16,151,78,954,4
Hopkins,DeAndre,HOU,2015,16,192,111,1521,11
Hopkins,DeAndre,HOU,2014,16,127,76,1210,6
Hopkins,DeAndre,HOU,2013,16,91,52,802,2
Allen,Keenan,LAC,2019,16,149,104,1199,6
Allen,Keenan,LAC,2018,16,136,97,1196,6
Allen,Keenan,LAC,2017,16,159,102,1393,6
Allen,Keenan,LAC,2016,1,7,6,63,0
Allen,Keenan,LAC,2015,8,89,67,725,4
Allen,Keenan,LAC,2014,14,121,77,783,4
Allen,Keenan,LAC,2013,15,105,71,1046,8
Edelman,Julian,NE,2019,16,153,100,1117,6
Edelman,Julian,NE,2018,12,108,74,850,6
Edelman,Julian,NE,2016,16,159,98,1106,3
Edelman,Julian,NE,2015,9,88,61,692,7
Edelman,Julian,NE,2014,14,134,92,972,4
Edelman,Julian,NE,2013,16,151,105,1056,6
Edelman,Julian,NE,2012,9,32,21,235,3
Edelman,Julian,NE,2011,13,9,4,34,0
Edelman,Julian,NE,2010,15,14,7,86,0
Edelman,Julian,NE,2009,11,54,37,359,1
Golladay,Kenny,DET,2019,16,116,65,1190,11
